time,open,high,low,close,tick_volume,spread,real_volume
2023-07-31 05:31:00,10979.833,10988.283,10979.242,10988.261,59,1090,0
2023-07-31 05:32:00,10988.236,10988.236,10987.666,10987.666,58,1090,0
2023-07-31 05:33:00,10987.655,10987.655,10987.051,10987.051,60,1090,0
2023-07-31 05:34:00,10987.048,10993.446,10986.525,10993.294,59,1090,0
2023-07-31 05:35:00,10993.281,10993.281,10992.699,10992.699,59,1090,0
2023-07-31 05:36:00,10992.693,10992.693,10992.091,10992.091,56,1090,0
2023-07-31 05:37:00,10992.072,10992.072,10991.433,10991.433,60,1090,0
2023-07-31 05:38:00,10991.431,10991.431,10990.738,10990.738,58,1090,0
2023-07-31 05:39:00,10990.726,10990.726,10990.039,10990.039,60,1090,0
2023-07-31 05:40:00,10990.037,10990.037,10989.465,10989.465,59,1090,0
2023-07-31 05:41:00,10989.455,11004.174,10989.227,11003.83,57,1090,0
2023-07-31 05:42:00,11003.827,11003.827,11003.194,11003.194,58,1100,0
2023-07-31 05:43:00,11003.191,11003.191,11002.458,11002.458,58,1100,0
2023-07-31 05:44:00,11002.446,11002.446,11001.72,11001.72,59,1100,0
2023-07-31 05:45:00,11001.709,11001.709,11001.036,11001.036,60,1100,0
2023-07-31 05:46:00,11001.016,11001.016,11000.386,11000.386,59,1100,0
2023-07-31 05:47:00,11000.377,11000.377,10999.745,10999.745,60,1100,0
2023-07-31 05:48:00,10999.732,10999.732,10999.119,10999.119,57,1100,0
2023-07-31 05:49:00,10999.115,10999.115,10998.491,10998.491,58,1090,0
2023-07-31 05:50:00,10998.474,10998.474,10997.831,10997.831,59,1090,0
2023-07-31 05:51:00,10997.817,10997.817,10997.125,10997.125,60,1090,0
2023-07-31 05:52:00,10997.095,10997.095,10996.461,10996.461,58,1090,0
2023-07-31 05:53:00,10996.443,10996.443,10995.893,10995.893,59,1090,0
2023-07-31 05:54:00,10995.885,10995.885,10995.312,10995.312,57,1090,0
2023-07-31 05:55:00,10995.302,10995.302,10994.694,10994.694,57,1090,0
2023-07-31 05:56:00,10994.675,10994.675,10994.01,10994.01,59,1090,0
2023-07-31 05:57:00,10993.992,10993.992,10993.154,10993.154,60,1090,0
2023-07-31 05:58:00,10993.148,10993.148,10992.536,10992.536,58,1090,0
2023-07-31 05:59:00,10992.521,10992.521,10991.894,10991.894,60,1090,0
2023-07-31 06:00:00,10991.875,10991.875,10991.218,10991.218,59,1090,0
2023-07-31 06:01:00,10991.207,10991.207,10990.612,10990.612,56,1090,0
2023-07-31 06:02:00,10990.599,10990.599,10989.918,10989.918,58,1090,0
2023-07-31 06:03:00,10989.909,10989.909,10989.158,10989.158,57,1090,0
2023-07-31 06:04:00,10989.143,10989.143,10988.401,10988.401,59,1090,0
2023-07-31 06:05:00,10988.396,10989.045,10988.057,10988.806,59,1090,0
2023-07-31 06:06:00,10988.804,10988.804,10988.103,10988.103,60,1090,0
2023-07-31 06:07:00,10988.089,10988.089,10987.41,10987.41,58,1090,0
2023-07-31 06:08:00,10987.404,10987.404,10986.752,10986.752,57,1090,0
2023-07-31 06:09:00,10986.742,10986.742,10986.138,10986.138,58,1090,0
2023-07-31 06:10:00,10986.121,10986.121,10985.454,10985.454,57,1090,0
2023-07-31 06:11:00,10985.452,10985.452,10984.857,10984.857,57,1090,0
2023-07-31 06:12:00,10984.841,10984.841,10984.188,10984.188,58,1090,0
2023-07-31 06:13:00,10984.179,10984.179,10983.592,10983.592,59,1090,0
2023-07-31 06:14:00,10983.575,10983.575,10982.827,10982.827,58,1090,0
2023-07-31 06:15:00,10982.813,10982.813,10982.039,10982.039,59,1090,0
2023-07-31 06:16:00,10982.022,10982.022,10981.448,10981.448,57,1090,0
2023-07-31 06:17:00,10981.437,10981.437,10980.789,10980.789,60,1090,0
2023-07-31 06:18:00,10980.76,10980.76,10980.112,10980.112,58,1090,0
2023-07-31 06:19:00,10980.099,10980.099,10979.45,10979.45,59,1090,0
2023-07-31 06:20:00,10979.439,10979.439,10978.78,10978.78,60,1090,0
2023-07-31 06:21:00,10978.769,10978.769,10978.124,10978.124,59,1090,0
2023-07-31 06:22:00,10978.106,10978.106,10977.497,10977.497,60,1090,0
2023-07-31 06:23:00,10977.468,10977.468,10976.806,10976.806,60,1090,0
2023-07-31 06:24:00,10976.793,10976.793,10976.189,10976.189,59,1090,0
2023-07-31 06:25:00,10976.173,10976.173,10975.574,10975.574,54,1090,0
2023-07-31 06:26:00,10975.554,10975.554,10974.889,10974.889,60,1090,0
2023-07-31 06:27:00,10974.88,10974.88,10974.218,10974.218,59,1090,0
2023-07-31 06:28:00,10974.209,10974.209,10973.543,10973.543,59,1090,0
2023-07-31 06:29:00,10973.534,10973.534,10972.931,10972.931,58,1090,0
2023-07-31 06:30:00,10972.93,10972.93,10972.22,10972.22,58,1090,0
2023-07-31 06:31:00,10972.201,10972.201,10971.486,10971.486,60,1090,0
2023-07-31 06:32:00,10971.469,10971.469,10970.872,10970.872,59,1090,0
2023-07-31 06:33:00,10970.861,10970.861,10970.23,10970.23,54,1090,0
2023-07-31 06:34:00,10970.224,10970.224,10969.627,10969.627,58,1090,0
2023-07-31 06:35:00,10969.62,10969.62,10968.929,10968.929,58,1090,0
2023-07-31 06:36:00,10968.918,10968.918,10968.304,10968.304,56,1090,0
2023-07-31 06:37:00,10968.296,10968.296,10967.618,10967.618,60,1090,0
2023-07-31 06:38:00,10967.603,10967.603,10967.031,10967.031,58,1090,0
2023-07-31 06:39:00,10967.021,10967.021,10966.356,10966.356,59,1090,0
2023-07-31 06:40:00,10966.342,10966.342,10965.616,10965.616,60,1090,0
2023-07-31 06:41:00,10965.615,10965.615,10964.945,10964.945,58,1090,0
2023-07-31 06:42:00,10964.933,10964.933,10964.169,10964.169,60,1090,0
2023-07-31 06:43:00,10964.141,10964.141,10963.575,10963.575,59,1090,0
2023-07-31 06:44:00,10963.565,10963.565,10962.893,10962.893,60,1090,0
2023-07-31 06:45:00,10962.88,10962.88,10962.187,10962.187,58,1090,0
2023-07-31 06:46:00,10962.184,10962.184,10961.541,10961.541,59,1090,0
2023-07-31 06:47:00,10961.53,10961.53,10960.74,10960.74,57,1090,0
2023-07-31 06:48:00,10960.735,10960.735,10960.035,10960.035,60,1090,0
2023-07-31 06:49:00,10960.013,10960.013,10959.295,10959.295,60,1090,0
2023-07-31 06:50:00,10959.281,10959.281,10958.527,10958.527,59,1090,0
2023-07-31 06:51:00,10958.521,10958.521,10957.88,10957.88,60,1090,0
2023-07-31 06:52:00,10957.876,10957.876,10957.286,10957.286,58,1090,0
2023-07-31 06:53:00,10957.281,10957.281,10956.6,10956.6,58,1090,0
2023-07-31 06:54:00,10956.591,10956.591,10955.956,10955.956,58,1090,0
2023-07-31 06:55:00,10955.947,10955.947,10955.242,10955.242,60,1090,0
2023-07-31 06:56:00,10955.236,10955.236,10954.615,10954.615,58,1090,0
2023-07-31 06:57:00,10954.607,10954.607,10953.92,10953.92,59,1090,0
2023-07-31 06:58:00,10953.914,10953.914,10953.317,10953.317,57,1090,0
2023-07-31 06:59:00,10953.306,10953.306,10952.639,10952.639,58,1090,0
2023-07-31 07:00:00,10952.62,10952.62,10952.022,10952.022,59,1090,0
2023-07-31 07:01:00,10952.006,10952.006,10951.296,10951.296,60,1090,0
2023-07-31 07:02:00,10951.29,10951.29,10950.563,10950.563,59,1090,0
2023-07-31 07:03:00,10950.54,10950.54,10949.994,10949.994,58,1090,0
2023-07-31 07:04:00,10949.976,10949.976,10949.206,10949.206,59,1090,0
2023-07-31 07:05:00,10949.183,10949.183,10948.493,10948.493,59,1090,0
2023-07-31 07:06:00,10948.476,10953.596,10948.257,10953.116,59,1090,0
2023-07-31 07:07:00,10953.099,10953.099,10952.397,10952.397,58,1090,0
2023-07-31 07:08:00,10952.396,10952.396,10951.813,10951.813,60,1090,0
2023-07-31 07:09:00,10951.805,10951.805,10951.017,10951.017,59,1090,0
2023-07-31 07:10:00,10951.013,10951.013,10950.451,10950.451,57,1090,0
2023-07-31 07:11:00,10950.431,10950.431,10949.867,10949.867,56,1090,0
2023-07-31 07:12:00,10949.862,10949.862,10949.289,10949.289,57,1090,0
2023-07-31 07:13:00,10949.275,10949.275,10948.643,10948.643,60,1090,0
2023-07-31 07:14:00,10948.639,10948.639,10947.918,10947.918,59,1090,0
2023-07-31 07:15:00,10947.913,10947.913,10947.254,10947.254,56,1090,0
2023-07-31 07:16:00,10947.246,10947.246,10946.601,10946.601,59,1090,0
2023-07-31 07:17:00,10946.601,10946.601,10945.815,10945.815,60,1090,0
2023-07-31 07:18:00,10945.814,10945.814,10945.221,10945.221,57,1090,0
2023-07-31 07:19:00,10945.22,10945.22,10944.393,10944.393,58,1090,0
2023-07-31 07:20:00,10944.373,10944.373,10943.819,10943.819,58,1090,0
2023-07-31 07:21:00,10943.812,10943.812,10943.118,10943.118,59,1090,0
2023-07-31 07:22:00,10943.105,10943.105,10942.457,10942.457,59,1090,0
2023-07-31 07:23:00,10942.423,10942.423,10941.795,10941.795,59,1090,0
2023-07-31 07:24:00,10941.788,10941.788,10941.07,10941.07,58,1090,0
2023-07-31 07:25:00,10941.063,10941.063,10940.366,10940.366,58,1090,0
2023-07-31 07:26:00,10940.359,10940.359,10939.708,10939.708,59,1090,0
